Robot{serijskiBroj=SerijskiBroj16, tip=Cistacki, snaga=6, autonomija=100, visina=1, senzor=null, motor=Motor{id=Id47, proizvodjac=Proizvodjac47, godinaProizvodnje=2022, snaga=5}, baterija=Motor{id=Id48, proizvodjac=Proizvodjac48, godinaProizvodnje=2023, kapacitet=43}} OSTECEN
Robot{serijskiBroj=SerijskiBroj2, tip=Montazni, snaga=9, autonomija=100, visina=1, senzor=null, motor=Motor{id=Id5, proizvodjac=Proizvodjac5, godinaProizvodnje=2020, snaga=5}, baterija=Motor{id=Id6, proizvodjac=Proizvodjac6, godinaProizvodnje=2024, kapacitet=28}} OSTECEN
Robot{serijskiBroj=SerijskiBroj12, tip=Montazni, snaga=4, autonomija=100, visina=2, senzor=null, motor=Motor{id=Id35, proizvodjac=Proizvodjac35, godinaProizvodnje=2022, snaga=8}, baterija=Motor{id=Id36, proizvodjac=Proizvodjac36, godinaProizvodnje=2021, kapacitet=22}} OSTECEN
Robot{serijskiBroj=SerijskiBroj14, tip=Montazni, snaga=5, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id41, proizvodjac=Proizvodjac41, godinaProizvodnje=2021, snaga=9}, baterija=Motor{id=Id42, proizvodjac=Proizvodjac42, godinaProizvodnje=2021, kapacitet=81}} OSTECEN
Robot{serijskiBroj=SerijskiBroj16, tip=Cistacki, snaga=6, autonomija=100, visina=1, senzor=null, motor=Motor{id=Id47, proizvodjac=Proizvodjac47, godinaProizvodnje=2022, snaga=5}, baterija=Motor{id=Id48, proizvodjac=Proizvodjac48, godinaProizvodnje=2023, kapacitet=43}} OSTECEN
Robot{serijskiBroj=SerijskiBroj8, tip=Montazni, snaga=1, autonomija=100, visina=2, senzor=null, motor=Motor{id=Id23, proizvodjac=Proizvodjac23, godinaProizvodnje=2023, snaga=1}, baterija=Motor{id=Id24, proizvodjac=Proizvodjac24, godinaProizvodnje=2022, kapacitet=45}} OSTECEN
Robot{serijskiBroj=SerijskiBroj28, tip=Cistacki, snaga=6, autonomija=100, visina=2, senzor=null, motor=Motor{id=Id83, proizvodjac=Proizvodjac83, godinaProizvodnje=2020, snaga=1}, baterija=Motor{id=Id84, proizvodjac=Proizvodjac84, godinaProizvodnje=2022, kapacitet=67}} OSTECEN
Robot{serijskiBroj=SerijskiBroj32, tip=Istrazivacki, snaga=5, autonomija=100, visina=1, senzor=null, motor=Motor{id=Id95, proizvodjac=Proizvodjac95, godinaProizvodnje=2020, snaga=4}, baterija=Motor{id=Id96, proizvodjac=Proizvodjac96, godinaProizvodnje=2021, kapacitet=61}} OSTECEN
Robot{serijskiBroj=SerijskiBroj7, tip=Montazni, snaga=5, autonomija=100, visina=2, senzor=null, motor=Motor{id=Id20, proizvodjac=Proizvodjac20, godinaProizvodnje=2024, snaga=7}, baterija=Motor{id=Id21, proizvodjac=Proizvodjac21, godinaProizvodnje=2023, kapacitet=73}} OSTECEN
Robot{serijskiBroj=SerijskiBroj15, tip=Montazni, snaga=7, autonomija=100, visina=2, senzor=null, motor=Motor{id=Id44, proizvodjac=Proizvodjac44, godinaProizvodnje=2020, snaga=9}, baterija=Motor{id=Id45, proizvodjac=Proizvodjac45, godinaProizvodnje=2024, kapacitet=12}} OSTECEN
Robot{serijskiBroj=SerijskiBroj35, tip=Istrazivacki, snaga=3, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id104, proizvodjac=Proizvodjac104, godinaProizvodnje=2024, snaga=8}, baterija=Motor{id=Id105, proizvodjac=Proizvodjac105, godinaProizvodnje=2023, kapacitet=31}} OSTECEN
